shot,X,tmin1,tmax1,Threshold_1,tmin2,tmax2,Threshold_2,tmin3,tmax3,Threshold_3,tmin4,tmax4,Threshold_4,tmin5,tmax5,Threshold_5,tmin6,tmax6,Threshold_6
34102,1790,1.9,2,,2.488,2.62,,3.1625,3.23,,3.7,3.81,,NaN,NaN,,,,
34103,1790,1.7,1.82,,2.3,2.42,,2.89,3.02,,3.5,3.57,,NaN,NaN,,,,
34104,1790,1.9,2,,2.5,2.6,,3.1,3.22,,,,,NaN,NaN,,,,
34105,1790,1.9,2,,2.5,2.62,,3.1,3.22,,NaN,NaN,,NaN,NaN,,,,
34106,1790,1.9,2,,2.5,2.6,,3.1,3.22,,,,,NaN,NaN,,,,
34107,1773,2.37,2.44,,4.3,4.349,,4.897,4.95,,5.497,5.55,,6.074,6.134,,,,
34108,1773,4.335,4.354,300,4.885,4.963,200,5.5328,5.5558,,6.07,6.15,,NaN,NaN,,,,
34115,1773,4.3034,4.352,800,4.906,4.956,400,5.5054,5.53477,300,NaN,NaN,,NaN,NaN,,,,
34275,1773,3.2898,3.309,1500,3.7806,3.80951,800,4.23733,4.3023,300,4.74452,4.818,200,5.23375,5.27295,150,,,
34276,1783,3.24512,3.3,1000,3.75819,3.78524,800,4.24,4.2586,500,NaN,NaN,,NaN,NaN,,,,
34277,1773,3.25831,3.31093,800,3.77037,3.80275,600,4.27501,4.31605,400,4.7625,4.81994,250,5.23,5.313,350,5.751,5.821,
34278,1773,3.2812,3.30994,1800,3.76649,3.80612,1000,4.24379,4.30582,1000,4.76733,4.80801,1100,5.22982,5.28912,1100,5.74731,5.78784,1100
34279,1773,3.23963,3.27792,1300,3.72996,3.80118,1000,4.24989,4.31115,700,4.72972,4.79377,700,5.25026,5.28308,700,5.73487,5.81832,600
34280,1773,3.24032,3.30985,1100,3.77062,3.7982,900,4.24105,4.29002,500,4.76,4.8198,500,5.2413,5.32014,400,5.7519,5.78291,400
34281,1773,3.26565,3.29705,1000,3.78501,3.82002,600,4.24994,4.29674,400,4.74259,4.80024,250,5.25317,5.31006,250,5.74024,5.81419,
