,<n_e>,<n_e> Err,Blob Size [rhos],Blob size Err [rhos],Cs,Ip,Ip Err,Lambda Div,Lambda Div Err,Rho,Rhos,Rhos Err,Shots,Tau,Tau Err,Theta Div,Theta Div Err,vP,vP Err,vPExB,vPExB Err,vR,vR Err,Z,Mu,Conf
0,2.65982484041e+19,inf,0.0,,56959.9385807,240956.703125,610.361450195,1.69045866425,4.6634116862,0.997269574723,0.00206000499809,,57418.0,2.16280744744e-07,4.03976055982e-10,,,inf,,0.0,1394.39287861,0.0,1081.4517775,1,2,LSN
1,2.62973846394e+19,inf,0.0,,47326.8073949,240955.90625,638.201477051,0.344072416056,0.055678956515,1.02280784184,0.00170947592099,,57418.0,2.39546637525e-07,2.22473582171e-10,,,-7117.59223695,342.054991846,0.0,1058.08889785,0.0,432.802815223,1,2,LSN
2,2.62703520465e+19,inf,0.0,,38585.0874069,240963.375,636.285095215,0.474963588353,0.127527877369,1.03534378242,0.0013987076665,,57418.0,2.27055028857e-07,3.63756396269e-10,,,-7014.20821563,983.29856551,0.0,1323.14728281,0.0,425.382192551,1,2,LSN
3,2.6241938467e+19,inf,0.0,,35117.663105,240974.484375,637.703979492,1.19989129901,0.0636265855895,1.04858430293,0.001278411935,,57418.0,2.3559704169e-07,8.41358675664e-11,,,-5761.67103427,541.157912502,0.0,881.308430949,0.0,193.197852028,1,2,LSN
4,2.6199196052e+19,inf,0.0858333928617,0.39587138591,33240.3380022,240980.40625,643.990600586,0.745188158372,0.0,1.06309278584,0.00121548726289,,57418.0,2.61701988661e-07,1.89021363031e-09,,,-4159.21870383,117.418983233,396.312377583,982.007160477,43.1752740174,199.124301551,1,2,LSN
5,2.49986217134e+19,inf,51.903552368,66.2926429967,60153.0077098,240469.09375,1507.89575195,0.208958843776,0.0193783255015,1.00490258395,0.00216104295281,0.000202820433692,57425.0,7.05988535656e-06,7.18623077641e-07,,,1744.91437429,204.903013047,14950.1331332,19165.8578399,5377.23215935,6816.92102174,1,2,LSN
6,2.50016277782e+19,inf,34.9687878028,47.9206466405,48216.4402094,240477.671875,1508.66320801,0.311931473049,0.0866121351424,1.01921149698,0.00173975951761,0.000107698143935,57425.0,8.58754325957e-06,8.24584518619e-07,,,-5344.16019584,472.361489278,6783.97551078,9103.12412499,2041.05071972,2784.309014,1,2,LSN
7,2.50103710947e+19,inf,9.99975923966,14.8346998911,39417.3148704,240520.5625,1540.92541504,0.326284725361,0.0885816777039,1.03510893968,0.00142939135189,9.0282468712e-05,57425.0,2.98518498057e-06,1.86999915716e-07,,,-10020.3003672,2.10038804358e-12,4609.01204859,6337.43561608,1297.52369001,1923.16695666,1,2,LSN
8,2.50300963333e+19,inf,14.8260828505,18.9815485889,35672.9503743,240557.09375,1587.82836914,0.622173033325,0.107231683421,1.04980148646,0.00130032357443,0.000143859242827,57425.0,4.60032160508e-06,4.06456645943e-07,,,-6318.35606487,275.544202079,4008.23656743,5172.222109,1223.21553832,1561.41465708,1,2,LSN
9,2.50554818578e+19,inf,16.5722977861,21.6686953724,33290.0489265,240583.1875,1620.45739746,0.724466605981,0.0306115284702,1.06314623662,0.0012205608707,4.67235991465e-05,57425.0,5.53191722905e-06,3.37524315769e-07,,,-3650.5581466,223.023052717,3301.14067065,4605.59653123,1572.42462195,2051.49706471,1,2,LSN
