,<n_e>,<n_e> Err,Blob Size [rhos],Blob size Err [rhos],Cs,Ip,Ip Err,Lambda Div,Lambda Div Err,Rho,Rhos,Rhos Err,Shots,Tau,Tau Err,Theta Div,Theta Div Err,vP,vP Err,vPExB,vPExB Err,vR,vR Err,Z,Mu,Conf
0,3.57100991756e+19,inf,,,,191249.75,1068.13708496,0.16999127412,0.0387651690595,0.99325411704,,,58623.0,5.00656979922e-06,2.35866473695e-08,,,-3880.87710797,399.851383814,6023.67156464,8106.69780146,4426.8375335,5761.82489137,1,2,DN
1,3.57977434465e+19,inf,30.5429349245,,46815.6559131,191392.6875,1416.27539062,0.0921437936248,0.0120218498339,1.0236716095,0.00169487393331,,58623.0,4.31685514321e-06,6.81351076796e-08,,,inf,,11120.0605418,17129.6699141,4488.32712449,7403.18056401,1,2,DN
2,3.58555183845e+19,inf,15.6538562116,23.7490930348,41231.138345,191487.46875,1667.26928711,0.0912995544566,0.00815198782466,1.04013440456,0.00150169708178,,58623.0,6.96272829775e-06,6.11093316114e-07,,,2907.89170332,1343.7534577,3144.753801,4503.19631338,1228.43124417,1771.86865122,1,2,DN
3,3.59078001624e+19,inf,34.5917725348,46.3054605665,38208.2448654,191621.875,2015.58947754,0.0817711352125,0.00494301128435,1.05187835479,0.00139642922874,,58623.0,1.49210059691e-05,3.46179351922e-06,,,2522.7252932,929.813519835,2880.46888146,3883.51161023,1477.67605528,1870.43988047,1,2,DN
4,3.59483963307e+19,inf,19.9720939048,25.801189469,30923.0085709,191799.71875,2462.84692383,0.0704582156077,0.000354182902672,1.06784040543,0.00113552121601,,58623.0,8.20010766253e-06,3.96364446521e-07,,,1623.65930917,625.838903776,2315.65794771,3045.0743364,1512.15787767,1863.08628013,1,2,DN
5,9.44345908036e+19,inf,,,,190906.5625,689.853210449,0.27459874125,0.0346500268902,1.00796521033,,,58623.0,1.74766945585e-05,2.95749276741e-07,,,inf,,2739.79033059,3599.95896799,1541.44803018,1880.50976198,1,2,DN
6,9.40639586281e+19,inf,72.2592322341,,46815.6559131,190940.203125,702.416625977,0.182891401664,0.029100532448,1.02255475539,0.00168305575098,,58623.0,1.60817139737e-05,5.77003141761e-07,,,inf,,5641.87967049,7569.63681373,5035.77723757,6720.74519927,1,2,DN
7,9.36293700601e+19,inf,34.9393059554,,41231.138345,190971.234375,710.087341309,0.172428725335,0.060369549913,1.03630282254,0.00148881429095,,58623.0,2.08388728001e-05,1.19278356559e-06,,,inf,,2285.09217852,2983.01338148,1004.69030623,1289.82093959,1,2,DN
8,9.32046595046e+19,inf,41.4916226291,75.0457002348,38208.2448654,190997.46875,714.806335449,0.278519724623,0.00605922234495,1.05070096406,0.00138524191936,,58623.0,2.05108325572e-05,2.49066886489e-06,,,7284.19015564,9037.01996954,2583.06983308,3391.12960247,1086.37296874,1423.71156515,1,2,DN
9,9.27970309618e+19,inf,28.4471319734,63.3979978618,30923.0085709,191018.484375,716.351623535,0.2578879928,0.00521312725168,1.06522786934,0.00112679966905,,58623.0,1.17523552752e-05,5.42507650275e-07,,,-194.997507264,356.025413962,2243.41532592,3085.93893117,1551.19009055,1981.10328828,1,2,DN
10,5.26809973787e+19,inf,,,,328704.375,3793.31347656,0.0542129654564,0.0257972420928,1.00984020827,,,58624.0,2.81784615782e-07,1.24440842664e-08,,,inf,,33202.0155868,50538.1960411,19056.4379141,30291.8873466,1,2,DN
11,5.25402862786e+19,inf,10.0890122196,,42869.445049,328447.25,4394.91796875,0.00907680758454,0.0030018470675,1.02790376043,0.00152716997689,0.000166988536614,58624.0,4.87650186861e-06,4.44125843639e-07,,,inf,,2954.98567497,3960.73615562,1118.44808173,1570.0386335,1,2,DN
12,5.23962678475e+19,inf,9.16280397098,11.7301744358,36151.7466238,328177.8125,4949.16308594,0.167832820588,0.123062258128,1.04355352835,0.00129526457013,0.0,58624.0,2.93909687888e-06,1.81176218114e-07,,,4858.3260368,214.709705365,3788.40496803,4853.89999208,1397.8312881,1786.35280679,1,2,DN
13,5.22384527446e+19,inf,27.2999829877,36.3391398555,32685.1893304,327839.59375,5600.75927734,0.773234633595,0.169739113997,1.05902890311,0.00117784924856,6.67243493234e-05,58624.0,1.00333583079e-05,1.91579515755e-07,,,3493.18702802,373.952736844,3003.73037662,3939.20844814,1117.39670753,1482.40073585,1,2,DN
14,5.20973326262e+19,inf,46.1810131022,63.2808616502,29931.4774112,327496.5625,6244.10839844,1.58836071206,0.228576492579,1.07480159326,0.00108324682868,0.000251946450162,58624.0,1.18121205459e-05,6.78163350601e-09,,,2847.03689478,826.766244086,4172.36135652,5177.46108841,726.235782797,972.54173747,1,2,DN
15,1.11488649469e+20,inf,,,,275136.875,119427.804688,0.055390149603,0.035720178924,1.00868055666,,,58624.0,1.14217395366e-05,2.24725220127e-06,,,-12803.7134095,5162.46754284,6285.10933856,8380.76668011,2469.5267811,3174.85030231,1,2,DN
16,1.11352503541e+20,inf,24.8076308442,34.490222765,42869.445049,278426.9375,116468.59375,0.0120563024674,0.00136396291109,1.02582154668,0.00151989783075,0.000166193331532,58624.0,1.07835466385e-05,4.67261251714e-07,,,2083.34467203,415.441206942,2469.92596278,4254.79404528,2474.92083908,3403.6337956,1,2,DN
17,1.1122127463e+20,inf,51.4904276285,62.6055791335,36151.7466238,282411.875,112642.234375,0.0112273234453,0.00813375081558,1.04001094901,0.00128763738025,0.0,58624.0,1.33192519561e-05,1.05227157347e-06,,,1662.02049065,153.605430927,4497.25170034,5822.49336256,2133.90232076,2581.53900647,1,2,DN
18,1.11116873801e+20,inf,25.801759921,32.6151369914,32685.1893304,286527.15625,108383.242188,0.104561147412,0.0482682788902,1.05560297688,0.00116968433864,6.62617894498e-05,58624.0,1.19141607423e-05,1.13052418924e-06,,,1660.15636737,760.572752579,2086.08256842,2842.90056696,1436.98315071,1687.44522753,1,2,DN
