,<n_e>,<n_e> Err,Blob Size [rhos],Blob size Err [rhos],Cs,Ip,Ip Err,Lambda Div,Lambda Div Err,Rho,Rhos,Rhos Err,Shots,Tau,Tau Err,Theta Div,Theta Div Err,vP,vP Err,vPExB,vPExB Err,vR,vR Err,Z,Mu,Conf
0,2.40799335689e+19,inf,2.61777526294,,59030.2182869,190469.515625,1333.35803223,0.184396146836,0.0524243343331,1.00557721567,0.00213018586792,0.0,58629.0,2.44966892103e-07,2.64512732901e-09,,,inf,,16617.8220106,27616.302076,15557.4131977,25410.4450253,1,2,LSN-FF
1,2.40786691306e+19,inf,18.2306674968,28.0745768707,50527.7139408,190507.828125,1398.24938965,0.271594571384,0.0286839294495,1.02136546169,0.00183421948567,0.0,58629.0,4.83401725342e-06,2.77961411619e-07,,,-7634.51456549,5302.67395045,6353.88173461,9459.34549716,2734.81697249,3755.53382437,1,2,LSN-FF
2,2.40887032737e+19,inf,25.4754301191,41.0527775684,44427.9493236,190546.0625,1450.02392578,0.219938731195,0.0190145271628,1.03376687819,0.00161997048721,6.46656911492e-05,58629.0,6.15798626182e-06,9.73451410922e-07,,,6865.76136271,6052.82049157,6104.11396297,8092.00284407,2766.51317739,3706.11835376,1,2,LSN-FF
3,2.41105923512e+19,inf,8.3342098076,13.8093025268,38249.6112979,190578.890625,1473.59277344,0.15394307634,0.0462940021901,1.04998487524,0.00140283079409,0.0,58629.0,4.1007276382e-06,6.13554089845e-07,,,2270.45672288,1796.0909194,2522.00589847,4131.33527423,1329.70696801,1925.67934889,1,2,LSN-FF
4,2.41225968191e+19,inf,22.4461902145,33.9684939118,41345.3435021,190593.875,1476.72363281,0.165485171333,0.009565689657,1.0621363754,0.00152121322917,5.36263220837e-05,58629.0,9.93291151871e-06,8.54888932621e-07,,,2353.34906134,1529.74442012,3177.52049494,3909.06679,1311.67913734,1788.99911973,1,2,LSN-FF
5,7.89166026587e+19,inf,,,,190693.71875,457.532470703,1.23610948976,0.368798879305,1.00753165794,,,58629.0,1.91405657074e-05,3.76587865863e-07,,,inf,,3830.58163925,5083.1651571,2010.72713656,2612.24184452,1,2,LSN-FF
6,7.84743966742e+19,inf,32.4179158844,49.4674412581,54943.6827446,190711.890625,463.861236572,0.921057797246,0.0579647183122,1.02112331453,0.00198178532229,0.0,58629.0,2.05139885176e-05,9.24109115234e-07,,,1252.89759408,1069.54416744,2466.37103695,4021.08454746,1930.04544601,2439.58119466,1,2,LSN-FF
7,7.80400807851e+19,inf,16.9784075447,21.2241871679,44427.9493236,190734.53125,488.724121094,1.18804613994,0.216933724414,1.03300052272,0.00160963016999,0.0,58629.0,8.85239149794e-06,4.55643779067e-07,,,1280.37134095,39.3634459836,2693.20580763,3715.05677091,1509.08729978,1884.29292855,1,2,LSN-FF
8,7.75643265018e+19,inf,21.259000672,25.6858688086,35282.3844518,190756.8125,522.293823242,1.18388828395,0.24437207792,1.04646220198,0.00128472073417,0.0,58629.0,1.29229144466e-05,4.22440495637e-07,,,1441.51647539,161.756592237,1559.93138242,2343.63333796,1425.92676192,1714.77492383,1,2,LSN-FF
9,7.70879740842e+19,inf,23.5053382925,42.7649866173,44153.8135068,190778.609375,555.062805176,1.2498698735,0.0190519753997,1.0593117514,0.00161720704027,0.0,58629.0,1.36780357179e-05,2.3889423861e-07,,,3354.31466477,4717.07939228,2346.04797852,3198.14697123,1489.83416725,1719.58940725,1,2,LSN-FF
10,4.67774687605e+19,inf,37.0718871876,66.2090100261,59187.9296038,246104.046875,758.642333984,2.93636016187,1.30678442092,1.00696157106,0.00211729561055,0.0,58635.0,4.3493008312e-06,4.54781010446e-07,,,-6799.48755597,4554.91303524,16994.403441,27783.8771799,6073.47093713,10034.9765272,1,2,LSN-FF
11,4.67716413488e+19,inf,15.9674877714,44.1518122989,45956.8410244,246118.96875,758.922546387,1.72787250179,0.0992606974644,1.02433140673,0.00165332560526,0.000221857908778,58635.0,4.44693522663e-06,4.57013053406e-07,,,-1114.85484117,2757.09545264,4614.02000199,7688.67478847,3735.43217122,4604.23245627,1,2,LSN-FF
12,4.67567539614e+19,inf,15.8785664025,158.673293119,39138.4917861,246131.421875,760.160522461,4.12170114693,2.74601480116,1.03802463143,0.00141343804443,0.000176519894655,58635.0,5.16400646621e-06,1.81968084932e-07,,,-835.024787575,8266.32365655,3936.52301256,5928.09573663,1841.8764069,2510.14072086,1,2,LSN-FF
13,4.67489298367e+19,inf,29.0472248744,39.7107340983,28219.8813751,246126.78125,758.096435547,1.28053701592,0.238466442646,1.05251573204,0.0010231670306,0.0,58635.0,7.50452019166e-06,4.9750208982e-07,,,1262.80845899,537.240510335,3589.70671806,4627.06140609,1672.72051255,2170.4152549,1,2,LSN-FF
14,4.67502800369e+19,inf,44.0350736805,52.7933930963,33807.0879323,246096.578125,761.132263184,0.690234991494,0.087989585856,1.06659940846,0.00123234749559,0.000269979281217,58635.0,2.21937929453e-05,6.68976876298e-07,,,738.599306153,153.545502022,1874.77210101,2710.90587488,1569.66463298,1852.75056286,1,2,LSN-FF
